Name,Department,Sales,Bonus,Region

Anna,HR,120,10,North

Ben,IT,200,20,South

Cara,HR,,15,North

David,IT,180,25,South

Emma,HR,90,5,West

Ben,IT,200,20,South

 Frank ,Sales,220,30,East

grace,Sales,210,,East

Helen,IT,160,20,West

Ian,Marketing,140,15,North

Jane,Marketing,170,20,South

Kevin,Sales,230,35,East

Laura,HR,110,10,West

Mike,IT,,25,South

Nina,Marketing,160,20,East

Oscar,Sales,240,40,East

Paul,HR,130,15,North

Quinn,IT,210,30,South

Rachel,Marketing,180,20,West

Steve,Sales,250,40,East

Tina,HR,100,10,West
